mo,fullname,genus,species,kingdom,phylum,class,fullname
F_ASPRG_RTLN,Aspergillus rutilans,Aspergillus,rutilans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rutilans
F_ASPRG_RFSC,Aspergillus rufescens,Aspergillus,rufescens,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rufescens
F_ASPRG_RBRB,Aspergillus rubrobrunneus,Aspergillus,rubrobrunneus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rubrobrunneus
F_ASPRG_RNNSS,Aspergillus rouenensis,Aspergillus,rouenensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rouenensis
F_ASPRG_RSVL,Aspergillus roseovelutinus,Aspergillus,roseovelutinus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus roseovelutinus
F_ASPRG_RSGL,Aspergillus roseoglobulosus,Aspergillus,roseoglobulosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus roseoglobulosus
F_ASPRG_RBST,Aspergillus robustus,Aspergillus,robustus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus robustus
F_ASPRG_RGLS,Aspergillus rugulosus,Aspergillus,rugulosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rugulosus
F_ASPRG_SGRL,Aspergillus sigarelli,Aspergillus,sigarelli,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sigarelli
F_ASPRG_SLWN,Aspergillus salwaensis,Aspergillus,salwaensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus salwaensis
F_ASPRG_SRTR,Aspergillus sartoryi,Aspergillus,sartoryi,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sartoryi
F_ASPRG_SBRC,Aspergillus sibiricus,Aspergillus,sibiricus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sibiricus
F_ASPRG_SMNS,Aspergillus siamensis,Aspergillus,siamensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus siamensis
F_ASPRG_SSMC,Aspergillus sesamicola,Aspergillus,sesamicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sesamicola
F_ASPRG_SRRT,Aspergillus serratalhadensis,Aspergillus,serratalhadensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus serratalhadensis
F_ASPRG_SERG,Aspergillus sergii,Aspergillus,sergii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sergii
F_ASPRG_SPLT,Aspergillus sepultus,Aspergillus,sepultus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sepultus
F_ASPRG_SMRN,Aspergillus samariensis,Aspergillus,samariensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus samariensis
F_ASPRG_SFRT,Aspergillus seifertii,Aspergillus,seifertii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus seifertii
F_ASPRG_TNGR,Aspergillus sclerotioniger,Aspergillus,sclerotioniger,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sclerotioniger
F_ASPRG_BNRS,Aspergillus sclerotiicarbonarius,Aspergillus,sclerotiicarbonarius,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sclerotiicarbonarius
F_ASPRG_RTLS,Aspergillus sclerotialis,Aspergillus,sclerotialis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sclerotialis
F_ASPRG_SCLR,Aspergillus sclerogenus,Aspergillus,sclerogenus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sclerogenus
F_ASPRG_SCRT,Aspergillus scarthjohnsoniae,Aspergillus,scarthjohnsoniae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus scarthjohnsoniae
F_ASPRG_SVNN,Aspergillus savannensis,Aspergillus,savannensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus savannensis
F_ASPRG_SCLRT,Aspergillus sclerotiorum,Aspergillus,sclerotiorum,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sclerotiorum
F_ASPRG_RHZP,Aspergillus rhizopodus,Aspergillus,rhizopodus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rhizopodus
F_ASPRG_SBRM,Aspergillus subramanianii,Aspergillus,subramanianii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subramanianii
F_ASPRG_SBNG,Aspergillus subunguis,Aspergillus,subunguis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subunguis
F_ASPRG_TRCS,Aspergillus turcosus,Aspergillus,turcosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus turcosus
F_ASPRG_TMDS,Aspergillus tumidus,Aspergillus,tumidus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tumidus
F_ASPRG_TBNG,Aspergillus tubingensis,Aspergillus,tubingensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tubingensis
F_ASPRG_TBRC,Aspergillus tuberculatus,Aspergillus,tuberculatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tuberculatus
F_ASPRG_TSRT,Aspergillus tsurutae,Aspergillus,tsurutae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus tsurutae
